구군분류,음식분류,업소명,전화번호,영업시간,좌석수,주차장,홈페이지,가능 외국어,예약여부,유아시설,죄식유무,후식유무,메뉴,간단설명,지하철,버스
수성구,한식,거송복어식당,053-793-1525,10:00 ~ 22:00,100석,전용주차장,없음,기타 (),가능,불가능,불가능,가능,"황제모듬찜 (大) 49,000원  복어찜 (大) 39,000원 아구찜 (大) 39,000원가오리찜 (大) 39,000원  매운탕 8,000원복불고기 11,000원  복껍질무침 10,000원황제모듬찜+복지리매운탕세트 (2인) 38,000원 (3인) 55,000원 (4인) 63,000원 (5인) 75,000원","- 수성구 시지 지역에서 유명한 복어 전문점입니다. 18년 전통을 자랑하는 이곳은 주인아주머니가 직접 개발하신 황제모듬찜이 유명한데, 전국에서 이곳 밖에 없다고 합니다.",주변에 지하철이 없습니다. 가장 가까운 지하철은 2호선 사월역 2번 출구 약 1.1km,버스 정류장은 `욱수초등학교건너` 정류장이 가장 가깝습니다.
북구,일식,련,053-313-8889,11:30 ~ 02:30,100석,50대,없음,기타 (),가능,가능,불가능,가능,"홍수련세트(5~6인) 169,000원  하루련세트(3~4인) 135,000원자오련세트 (3인) 105,000원  황금련세트 (2인) 67,000원",일식캐쥬얼레스토랑의 목조의 전체적인 느낌으로 일본 소품들로 공간 인테리어 활용,지하철 3호선 팔거역 4번 출구 약 500m,버스 정류장은 `칠곡그린파크2` 정류장이 가장 가깝습니다.
서구,한식,장수고디탕식당,053-554-4510,09:00 ~ 20:00,20석(룸1),5대,없음,기타 (),가능,불가능,불가능,불가능,"고디탕 5,500원","판매하신 곳으로 경상도식이 아닌 충청도식 맑은 고디탕을 전문으로 하는 곳입니다. 경상도식 고디탕은 들깨가루가 들어가는 경우가 많은데, 이곳은 된장과 소금, 부추만 사용해서 최소한의 재료로 식감의 느낌과 맛을 최대한 살리는 곳입니다.",주변에 지하철이 없습니다.,버스 정류장은 `서구청앞` 정류장이 가장 가깝습니다.
중구,일식,사야까,053-427-0141,11:00 ~ 23:00,40석,주변유료주차장,없음,일본어 기타 (),가능,불가능,불가능,불가능,"나가사끼짬뽕 11,000원  히레까츠 8,500원치즈까츠동 9,500원  까츠동 8,500원","사야까는 음식의 기본을 재료에서 찾는다. 일본처럼 300년, 400년 대를 이어 유지할 수 있는 음식점을 만들려면 가장 중요한 것은 당장의 음식 맛이 아니라 재료라고 생각한다.그래서 이곳 음식점에는 사용하는 재료에 대한 안내서가 많이 눈에 띈다.",지하철 1호선 중앙로역 2번 출구 약 160m,버스 정류장은 `약령시앞` 정류장이 가장 가깝습니다.
수성구,한식,감포은정복어횟집,053-752-5271,오전10시 - 오후10시,100석(룸6개),15대 가능,없음,기타 (),가능,불가능,불가능,가능,"생복탕 20,000원  복어탕 15,000원참복탕 35,000원  참복회 (1kg) 150,000원자연산 모듬회 60,000원 ~ 80,000원  기타 아구수육 생아구탕 복수육등 판매",50년 역사를 가지고 있는 전통 복요리 전문점으로 3대째 가업을 이어 오고 있는 곳입니다.,주변에 지하철이 없습니다.,버스 정류장은 `대구문화방송앞` 정류장이 가장 가깝습니다.
남구,한식,금불수산대림,053-474-7177,17:00 ~ 22:00,40석(룸1),주변 공영주차장 (7시 이후 무료),blog.naver.com/gippeumk,중국어<BR>기타 (),가능,불가능,불가능,가능,"모듬회 40,000원 1인당 제철음식 판매 가격은 시세 반영.",이곳은 다른 곳에서 볼수 없는 특징이 몇가지 있는데 그중 하나는 정해진 메뉴가 없다는 것. 항상 제철 회와 요리를 만들기 때문에 정해진 것이라고는 기본으로 나오는 밑반찬 뿐이다. 그래서 메뉴판도 하얀 칠판에 수시로 쓸수 있도록 만들어져 있다.,지하철 1호선 영대병원역 3번출구 약 1.3km,버스 정류장은 `대성유니드앞 ` 정류장이 가장 가깝습니다
남구,한식,고산골할매보리밥,053-475-9579,07:00~ 19:00,36석,건물 앞 및 주변노상주차,없음,기타 (),불가. 꼭 필요하실 경우 전화 요망.,불가능,가능,가능,"보리밥정식 4,000원   고등어구이 3,000원(생물고등어)해물파전 6,000원",- 고산골이 등산로로 자리 잡으면서 보리밥 전문점이 많이 생겼는데 그중 가장 원조가 되는 곳이 바로 이곳 [고산골할매보리밥] 이다.30년 이상의 역사를 자랑하는 이곳은 제대로된 전통 된장과 청국장을 만들기 위해 노력하는 곳,주변에 지하철이 없습니다.,버스 정류장은 `효성타운앞` 정류장이 가장 가깝습니다.
동구,한식,하동섬진강재첩국,053-764-5244,08:00 ~ 10:00,68석(룸1개),14대,없음,기타 (),가능,불가능,가능,가능,"재첩국 8,500원  황태국 8,500원흑태찜 50,000원  코다리찜 30,000원/40,000원재첩회 28,000원/38,000원  황태구이 (1마리) 11,000원/(2마리) 22,000원재첩국비빔밥 8,500원  고디탕 8,500원",-이곳은 진한국물맛을 가장 큰 자랑으로 여기는 곳으로 숙취해소 및 건강식에 좋은 재첩을 다양하게 맛볼 수 있다.,주변에 지하철이 없습니다. 가장 가까운 지하철은 동대구역 1번 출구 약 1.1km,버스 정류장은 `영남일보건너` 정류장이 가장 가깝습니다.
동구,한식,녹용식당,053-755-2333,11:00 ~ 22:00,150석(룸4개),60대,없음,중국어<BR>기타 (),가능,불가능,불가능,가능,"한방 죽정식 17,000원  장어구이(특미) 25,000원","대구도심에 있다고 하기엔 또다른 풍경을 가지고 있는 이곳의 메뉴는 죽과 장어구이 지만 함께 나오는 불고기, 해산물, 게장, 추어탕 등 20여가지 메뉴는 어느 유명한 한정식 전문점 에 온 느낌이다.",주변에 지하철이 없습니다. 가장 가까운 지하철은 1호선 동대구역 1번 출구 약 1.2km,버스 정류장은 `영남일보건너` 정류장이 가장 가깝습니다.
수성구,양식,바우만스테이크하우스,053-743-3074,11:30 ~ 22:00,34석,동신유료주차장 2시간무료 이용,cafe.naver.com/baumann,영어 기타 (),가능,불가능,불가능,가능,"Lunch Time ( 11:30 ~ 14:30 )  해물 토마토 파스파 15,000원까르보나라 15,000원  꽃등심 스테이크 20,000원채끝 등심 스테이크 29,000원   Dinner Time ( 17:30 ~ 21:00 )한우 안심스테이크 35,000원  한우 채끝 등심 스테이크 32,000원한우 샤또브리앙 38,000원  한우채끝 등심스테이크 47,000원한우암심스테이크 55,000원  한우샤또브리앙스테이크 60,000원바다가재버터구이 64,000원  떡갈비 20,000원","바우만 특유의 스테이크, 주인장이 직접 개발한 스테이크 소스와 함께 숫불로 고기를 구워 내어 일반 스테이크와는 확연한 맛의 차이를 보입니다.",지하철 2호선 범어역 11번 출구 약 760m,버스 정류장은 `대구문화방송건너` 정류장이 가장 가깝습니다.
동구,한식,일경성식당,053-753-4778,09:30 ~ 23:00,60석(룸2),없음 (도로 뒷편 유료 주차장),없음,기타 (),가능,불가능,불가능,가능,"명품왕순대 20,000원  명품순대국밥 7,000원순대국밥 6,000원  돼지국밥 6,000원홍어무침회 20000~25,000원  홍어삼합 30,000원/40,000원/50,000원홍어찜 30,000원/40,000원","홍어와 왕순대, 순대국밥이 유명한 집. 아직 많이 알려 지지 않은 맛집이다. 주인 아주머니가 목포 분으로 모든 음식을 손수 만들어서 주신다.순대국밥이 맛있는 집으로 유명하다.",주변에 지하철이 없습니다. 가장 가까운 지하철은 1호선 동대구역 3번 출구 약 1.4km,버스 정류장은 `동구시장건너` 정류장이 가장 가깝습니다.
수성구,한식,섬회집,053-751-3917,11:00 ~ 23:00,50석(룸2개),노상 주차,없음,일본어 기타 (),예약 가능( 대부분 예약 손님으로 미리 예약 하세요),불가능,불가능,가능,"돔 시세  광어 70,000원도다리 65,000원  세꼬시 55,000원물회 15,000 ~ 20,000원  회덮밥 15,000 ~ 20,000원",믿을 수 있는 자연산 활어 전문점입니다. 수송차를 가지고 계시기 때문에 직접 포항에 내려가 경매로 낙찰 받은 활어를 가져오는 곳입니다.,지하철 2호선 범어역 1번 출구 약 670m,버스 정류장은 `법원건너` 정류장이 가장 가깝습니다.
수성구,한식,안동국시,053-763-6633,11:00 ~ 21:00,108석(룸6),25,없음,영어 기타 (),가능,불가능,불가능,가능,"안동국시 8,000원  예전손국시 7,000원돼지고기 수육 15,000원 ~ 20,000원  참문어 20,000원 ~ 25,000원",김영삼 전 대통령이 좋아하여 청와대에 그 비법을 전수한 국수로 유명한 안동국시. 수성구 황금동의 [안동국시]는 김남숙 할머니로 부터 전통의 안동국시 조리방법을 전수 받아 2004년 대구에서 사업을 시작 하였다.,지하철 3호선 어린이회관역 1번 출구 약 300m,버스 정류장은 `어린이회관 건너2` 정류장이 가장 가깝습니다.
중구,전통차/커피전문점,핸즈커피중앙로점,053-242-3476,11:00 ~ 24:00,45,80대,없음,기타 (),예약 불가(전화요망),불가능,불가능,불가능,"아메리카노 3,800원   카페라떼 4,800원핸드드립커피 5,000원 ~ 6,000원  생과일쥬스 5,500원",커피 프랜차이즈 업체 동성로 지점,지하철 1호선 중앙로역 1번 출구 약 160m,버스 정류장은 `약령시앞` 정류장이 가장 가깝습니다.
중구,한식,핀투대박양념오뎅,053-422-3592,09:30 ~ 24:00,18,주차불가,없음,기타 (),예약 불가(전화요망),불가능,불가능,불가능,"양념오뎅 2,000원 떡볶이 2,000원만두 2,000원 순대 2,000원김밥(1줄) 1,200원",대구백화점 옆에 위치한 양념오뎅이 맛있는 집.,버스 정류장은 `CGV대구한일앞`정류장이 가장 가깝습니다.,"156, 309, 425, 323, 427, 521, 724, 939, 980, 106"
중구,한식,원주통닭,053-424-5129,10:30 - 22:30,20석,주차불가,없음,기타 (),가능,불가능,불가능,불가능,"튀김통닭 16,000원  양념통닭 17,000원야채찜닭 20,000원",옛날 통닭맛을 느낄 수 있는 곳. 골목에 위치.,지하철 1호선 중앙로역 2번 출구 약 480m,버스 정류장은 `삼덕성당앞`정류장이 가장 가깝습니다.
중구,한식,소두불식당,053-252-9430,07:00 ~ 22:00,50석,주차불가,없음,기타 (),가능,불가능,가능,불가능,"수육 (대) 23,000원 (중) 20,000원 (소) 18,000원  순대 (대) 10,000원 (중) 8,000원따로국밥 6,000원  수육백반 7,500원","옛날 성당시장에 있던 식당이었으나 현재의 위치로 이전. 쫄깃한 식감의 순대와 수육, 국밥이 유명한 곳.",지하철 1호선 중앙로역 1번 출구 약 280m,버스 정류장은 `약령시건너`정류장이 가장 가깝습니다.
중구,한식,동성로떡볶이2호점,053-424-8716,09:30 ~ 23:00,40석,주변 유료주차장,없음,기타 (),가능,불가능,불가능,불가능,"피자떡볶이 3,500원  해물떡볶이 3,500원순대떡볶이 3,500원  모듬떡볶이 5,000원동성로떡볶이 2,500원  납작만두 꾼만두 3,000원특미즉석철판볶음밥 1,000원",동성로 떡볶이골목에 위치한 원조집. 즉석 떡볶이 형태로 먹은 후 밥을 볶아 먹을 수 있습니다.,지하철 1호선 중앙로역 2번 출구 약 220m,버스 정류장은 `약령시앞`정류장이 가장 가깝습니다.
중구,한식,화림보쌈,053-255-1877,24시간,70석(룸1),7대,없음,기타 (),예약가능합니다.,불가능,가능,가능,"보쌈 20,000원/ 30,000원/ 40,000원    수육 18,000원/ 28,000원/ 35,000원암뽕 20,000원   보쌈김치 5,000원순대국밥 6,000원    국밥 6,000원",돼지보쌈 골목의 초기 부터 자리를 지킨 25년전통의 맛집. 보쌈골목 모범식당 1호,지하철 1호선 명덕역 7번 출구 약 610m,버스 정류장은 `남문아파트앞`정류장이 가장 가깝습니다.
중구,한식,원조 서울보쌈,053-252-8006,24시간,50석,4대,없음,기타 (),가능,불가능,가능,가능,"보쌈 20,000원/ 30,000원/ 40,000원   수육 18,000원/ 28,000원/ 35,000원암뽕 20,000원   보쌈김치 5,000원","서울보쌈은 이름앞에 원조라는 말이 붙어 있다. 아닌게 아니라 [남문시장 돼지보쌈골목]에서 가장 먼저 보쌈을 판매한 원조 가게 이다. 서울에서 부모님의 보쌈 식당 ""개성보쌈"" 에서 배워와 1983년 이곳에 자리를 잡았다.",지하철 1호선 명덕역 7번 출구 약 610m,버스 정류장은 `남문아파트앞`정류장이 가장 가깝습니다.
달성군,한식,대구축산농협팔공상강한우프라자 서재점,053-585-6464,10:30 ~ 22:30,152석,150대,없음,기타 (),가능,가능,가능,가능,"한우모듬세트(1인분 100g) 5,800원  등심1등급 5,700원갈비살(1인분 100g) 9,800원  한우 토시살(1인분 100g) 13,500원한우 안창살(1인분 100g) 13,500원  갈비본살(1인분 100g) 13,500원한우 부위별 판매","팔공상강한우 프라자 서재점은 대구축산농협 직영 한우전문식당으로써  우리 한우의     안전성과 우수성을 널리 홍보하고 “팔공상강한우”고급브랜드의 유통마진을 축소하여보다 저렴한 가격으로 소비자에게 공급하고자 달성군 다사읍 서재리에 한우전문 식당     1호점을 2007년 12월 13일에 개점 하였습니다.150대가 동시 주차 가능한 넓은 주차장 및 직장,가족,계모임 등 40명이상 모임을 가질수    있는 아늑하고 정감 있는 장소를 보유하고 있습니다.또한 1등급 이상의 고급육만을 소비자에게 저렴한 가격으로 공급하고 있으며, 한우의 여러    부위를 한번에 맛 볼수 있는 모듬구이용 등 다양한 가격대에 여러 메뉴를 진열하고 있어소비자의 입맛에 맞는 메뉴를 고객이 직접 골라 먹는 재미가 있습니다.     테이블당 상차림(3,000원)을 별도 지급하고, 찬류는 무한리필 되는 일반 한우식당과차별화된 사업방식으로 운영하고 있습니다.      이 방식은 가족모임이나 단체모임에 특히 저렴하다고 느낄수가 있습니다.",주변에 지하철이 없습니다.,버스 정류장은 `다사농협주유소건너` 정류장이 가장 가깝습니다.
동구,한식,꼬꼬하우스,053-956-7851,11:00 ~ 01:00,52석,업소앞 3대/공용주차장,없음,영어 기타 (),가능,불가능,불가능,불가능,"튀김똥집 10,000원  양념똥집 11,000원튀김/양념 반반 똥집10,000원  간장/양념 반반 똥집11,000원모듬똥집(대) 15,000원  모듬똥집(소) 13,000원튀김통닭 14,000원  간장/양념 통닭 15,000원야채/간장 찜닭 17,000원  닭발볶음/닭발튀김 10,000원",72년 오픈한 닭똥집 골목 원조집 중 하나. 골목 광장으로 연결되는 야외 테라스매일 아침 신선한 재료를 공급받아 제공,주변에 지하철이 없습니다. 가장 가까운 지하철은 동대구역 1번 출구 약 1.3km,버스 정류장은 `평화시장(닭똥집골목)앞` 정류장이 가장 가깝습니다.
동구,한식,삼아통닭,053-952-3650,09:00 ~ 03:00,52석,공용주차장,없음,기타 (),가능,불가능,불가능,불가능,"튀김똥집 (소) 8,000원 (대) 11,000원  후라이드/양념 치킨 15,000원양념똥집/간장똥집 (소) 8,000원 (대) 11,000원  간장치킨 15,000원똥집모듬 (소) 13,000원 (대) 16,000원  야채찜닭 17,000원누드똥집 11,000원  뼈없는 닭발 10,000원마늘똥집 11,000원  볶음똥집 11,000원",대구에서 가장 유명한 음식 골목가운데 하나인 닭똥집골목의 터줏대감격인 음식점이다. 이곳에서 오랜동안 자리를 지킨 집이 많지만 그중에서도 누구나 인정하는 원조집이다.,주변에 지하철이 없습니다. 가장 가까운 지하철은 동대구역 1번 출구 약 1.4km,버스 정류장은 `평화시장(닭똥집골목)앞` 정류장이 가장 가깝습니다.
달서구,한식,동인동찜갈비 돌담집,053-639-7847,10:00 ~ 22:00,100석,15대,없음,영어 기타 (),가능,불가능,불가능,가능,"동인동찜갈비(1인분) 17,000원  생고기 한접시(200g) 30,000원육회 한접시(200g) 30,000원","넓은 주차공간이 마련되어 있고,1,2층으로구분 되어 있습니다. 단체모임,예약석따로 마련 되어 있어 예약시 이용 가능합니다.소갈비찜전문점입니다.",주변에 지하철이 없습니다.,버스 정류장은 `토지주택공사앞` 정류장이 가장 가깝습니다.
동구,한식,황토시골집,053-982-2002,24시간,200석,70대,없음,기타 (),가능,가능,가능,가능,"오리훈제 43,000원  옻오리백숙 45,000원양념불고기 43,000원  오리백숙 45,000원옻닭 45,000원  닭백숙/도리탕/찜닭 40,000원버섯전골 20,000원  닭갈비 20,000원산채비빔밥 7,000원","시골집은 24시간 영업하는 곳으로 닭, 청둥오리, 백숙, 옻닭 전문점입니다.",주변에 지하철이 없습니다.,버스 정류장은 `한걸마을건너` 정류장이 가장 가깝습니다.
동구,한식,장작더미가든,053-986-3000,10:00 ~ 22:00,170석(룸4),80대,없음,영어 중국어<BR>기타 (),가능,불가능,불가능,가능,"장작더미 특모듬 세트(4인기준) 68,000원  오리바베큐(500g) 40,000원삼겹살훈제바베큐(400g) 30,000원  오리주물럭(800g) 40,000원청춘오리불고기(550g) 25,900원  생오리로스(550g) 30,000원생오리로스(750g) 35,000원  열정돼지불고기(550g) 25,900원열정돼지불고기(800g) 35,000원  곤드레밥정식 12,900원장작떡갈비(130g) 8,000원 생오리로스(500g) 23,900원열정돼지불고기(550g) 24,900원  곤드레밥정식 12,900원장작떡갈비(130g) 8,000원","장작더미는 오리바베큐, 삼겹바베큐 등 다양한 종류의 바베큐 요리를 맛볼 수 있는 참나무장작 바베큐 전문점입니다.",지하철 1호선 용계역 3번 출구 약 190m,버스 정류장은 `용계삼거리2` 정류장이 가장 가깝습니다.
동구,한식,애(愛)미가,053-752-0708,10:00 ~ 24:00,110석(룸7),20대,없음,영어 기타 (),가능,불가능,불가능,가능,"소황제갈비살(미국산100g) 9,000원  한우등심(100g) 16,000원풍천민물장어(1kg) 70,000원  풍천민물장어(500g) 40,000원자연산바닷장어(1kg) 60,000원  자연산바닷장어(500g) 35,000원도야지 특수부위 모듬(600g) 42,000원  생삼겹살(100g) 8,000원민물장어정식 15,000원  바다장어정식 12,000원김치전골(대) 28,000원  장어탕 8,000원",애(愛)미가는 소(한우)고기와 돼지고기를 함께 판매하고 있는 육고기 전문점입니다.,지하철 1호선 동대구역 3번 출구 약 780m,버스 정류장은 `귀빈예식장앞` 정류장이 가장 가깝습니다.
동구,한식,길안매운탕식당,053-951-0013,11:30 ~ 20:00,50석,5,없음,기타 (),가능,불가능,불가능,가능,"잡어매운탕 30,000원~50,000원  쏘가리매운탕(1인) 35,000원피리조림 꺽지조림 20,000원~30,000원  안동문어 25,000원","쏘가리, 꺽지, 뿌굴이, 메기 등 자연산 잡어 매운탕 전문점. 인공조미료를 전혀 사용하지 않고 천연조미료만으로 뛰어난 손맛을 자랑하는 집입니다.친절한 서비스와 가정집 같은 편안한 분위기.",지하철 1호선 큰고개역 1번 출구 약 230m,버스 정류장은 `산림조합중앙회앞` 정류장이 가장 가깝습니다.
동구,한식,한정식금마루,053-942-0088,10:00 - 22:00,110석(룸14),30대,없음,영어 기타 (),가능,불가능,불가능,가능,"금마루 퓨전한정식 80,000원  한정식 산마루 45,000원한정식 들마루 35,000원  한정식 강마루 25,000원갈비찜 35,000원  점심특선(토 일 제외/~15:00)) 16,500원","아양교앞에 위치한 깨끗하고 청결하며 품위와 격식을 갖춘 한정식 식당입니다. 현대식시설과 깔끔한 인테리어, 아늑한 분위기와 격조높은 서비스는 상견례나 귀한 모임에 좋습니다.",지하철 1호선 아양교역 4번 출구 약 150m,버스 정류장은 `아양교역(1번출구)` 정류장이 가장 가깝습니다.
동구,한식,명산식당,053-982-1999,11:00 ~ 22:00,100석(룸17),20대,없음,기타 (),가능,불가능,불가능,가능,"한우갈비찜(1인분) 25,000원 송이버섯전골(1인분) 25,000원연잎밥송이한우불고기(1인분) 25,000원 한우송이불고기(1인분) 20,000원명산스페셜(350g) 90,000원 한우패밀리(350g) 60,000원주먹시(100g) 30,000원 안창살(100g) 30,000원갈비살(100g) 25,000원 자연더덕밥상(1인분) 20,000원",100% 황토와 소나무로 지어진 방갈로는 독특하면서도 뛰어난 조형미로 감탄을 자아내게 합니다.  약 200m 연결되어 방갈로가 지어져 있으며 소나무로 인해 방갈로 안에 드들어가면 그 향이 가득합니다.,주변에 지하철이 없습니다.,버스 정류장은 `덕산마을건너` 정류장이 가장 가깝습니다.
수성구,일식,대륙초밥,053-766-8958,11:00 ~ 22:30,110석(룸11),60대,없음,영어 기타 (),가능,불가능,불가능,가능,"사미미코스  40,000원 ~ 80,000원  점심특선 초밥정식 10,000원점심특선 회정식 20,000원 ~ 30,000원",- 현대식 시설에 2대째 대를 이어가는 정통 일식집,주변에 지하철이 없습니다.,버스 정류장은 `KT상동지사앞` 정류장이 가장 가깝습니다.
동구,한식,대구가든,053-964-0677,11:00 ~ 22:00,136석(룸4),20대,없음,기타 (),가능,불가능,불가능,가능,"맛갈비(250g) 25,000원  양푼이찜갈비(200g) 16,000원갈비살(100g) 18,000원  불고기(200g) 12,000원갈비탕 9,000원  돌솥비빔밥 8,000원비빔냉면 8,000원  물냉면 7,000원","순수 국내산 한우만을 취급하는 한우전문음식점. 대구축협, 팔공상강한우만 취급합니다.",지하철 1호선 반야월역 1번 출구 약 650m,버스 정류장은 `반야월모란1차아파트` 정류장이 가장 가깝습니다.
수성구,한식,망향비빔국수,053-768-8818,10:00 ~ 22:00,120석,20대,www.manghyang.com,영어 기타 (),가능,불가능,불가능,가능,"비빔국수 6,000원  손만두 3,000원",- 새콤달콤 깔끔하게 매운 맛의 비빔국수가 유명한 집.,지하철 3호선 수성못역 1번 출구 약 670m,버스 정류장은 `두산동주민센터앞` 정류장이 가장 가깝습니다.
수성구,한식,황장군,053-765-2525,10:00 ~ 22:00,80석,20대,www.h-janggun.com,일본어 기타 (),가능,불가능,불가능,가능,"갈비탕 9,000원 ~ 13,000원  갈비찜 30,000원 ~ 68,000원",한국 음식 다운 음식이라 말해짐 음식맛이 깔끔하고 담백함,지하철 3호선 수성못역 1번 출구 약 1.1km,버스 정류장은 `덕화중학교앞` 정류장이 가장 가깝습니다.
